logProt,logRvar
4.100054,1.1338581
3.780789,1.41397
3.003473,1.4440448
3.3427997,1.5255631
3.4759116,0.09342169
3.4391074,1.4771212
3.318517,1.4951279
3.5930064,1.507181
3.9521585,1.3898746
4.2500873,1.1942368
3.3299146,1.449941
3.3467677,1.1280761
3.344853,1.6697816
3.479292,1.3176455
3.3416488,1.5584686
4.120636,1.3416324
4.2260346,0.99255353
4.0340023,1.278525
2.892593,1.5282738
3.1461122,1.5102769
3.577834,1.5915098
3.4020584,1.4891144
4.242605,1.2392995
3.7437236,1.450095
4.2300935,1.3807538
3.2626152,1.7179201
3.7594004,1.2935835
3.7438366,0.9863238
3.5403361,1.0496056
3.5633936,1.5493711
3.964515,1.2513949
4.247119,1.2422929
3.3025522,1.5403295
2.6284306,0.4345689
3.432107,1.4620984
4.056721,1.1338581
3.7894986,1.0916669
3.7628067,1.5493711
4.316263,1.3265407
4.1226654,1.3506356
4.1708417,1.3718065
3.7742476,1.2153732
4.044765,1.0707765
3.2383814,1.6365882
4.309436,0.9836263
3.9901524,1.4169732
3.1925995,1.278525
3.09959,1.5373152
3.3207347,1.5104109
3.1880794,1.6486527
3.720141,1.1248301
3.3944516,1.525304
3.3036258,1.6517625
3.5674295,1.4019172
4.064972,1.3055663
3.8669693,1.4380674
4.0720034,1.007321
4.054599,1.3386557
2.9750032,1.6697816
3.7304554,1.2392995
4.2676263,1.3356584
3.210737,1.6607707
4.1306467,1.3868556
3.8593204,1.4410664
3.4702063,1.3928727
4.0829687,1.3055663
4.611113,0.7489629
3.0877695,1.5010593
4.2679305,1.0406023
3.3356261,1.4711449
3.8459382,1.3416324
3.1096282,1.2314696
3.3656826,1.4680518
3.6840844,1.1792644
3.3474283,1.4048337
4.033426,1.0588055
3.961776,1.23325
3.851564,1.4470029
3.5483787,1.3506356
3.9410532,1.0437552
3.3155115,1.4891144
3.1808612,1.6095945
3.8719597,1.1911714
3.2660086,1.3958504
3.7687552,1.4891144
3.3254604,1.4410664
4.9813013,0.06069783
4.9003115,0.45939252
3.9967396,1.0618293
3.3584213,1.5282738
3.2273312,1.612572
3.845785,1.0195317
3.0200188,1.6396856
4.1170774,1.0648322
4.037333,1.2452658
3.3354259,1.5223138
3.4951208,1.3718065
2.852248,1.6938149
3.9114094,1.1370374
4.20144,1.007321
4.371033,0.8932068
3.0642388,1.4227539
2.885533,1.7149162
3.8960423,1.2964458
3.6262197,1.4019172
4.0737143,1.3626709
3.5488782,1.4079006
4.04503,1.3596457
4.1780014,1.1911714
3.7295327,1.3085644
4.2066083,1.0314084
