logProt,logRvar
4.1639733,1.281488
3.8690536,1.3416324
3.6273375,1.3898746
3.9330847,1.1670218
3.6579843,1.3868556
3.2440531,1.5368109
3.0165732,1.4589399
4.1496344,0.99563515
4.1666965,0.90848505
3.2776299,1.3447851
3.499237,1.5132176
3.531868,1.4199557
3.851742,1.23325
4.1016173,0.9836263
3.6159203,1.2755417
2.9904814,1.444201
3.7001204,1.4109459
3.8876882,1.4350476
4.1418405,1.1218879
3.416072,1.3388548
3.3443623,1.3688445
3.2283957,1.6607707
4.118083,1.0827854
3.969959,1.100715
3.9926066,1.0468853
3.8295314,1.2935835
3.675167,1.3988078
3.7591913,1.2935835
3.8590527,1.2513949
3.6193967,1.4169732
4.05802,1.0678145
3.2253046,1.4171394
3.0724294,1.5342801
3.32575,1.3567904
3.1095395,1.41397
3.4309163,1.3898746
2.9782155,1.2579185
4.12712,1.23325
3.734609,1.2092469
3.8297582,1.3506356
4.3871293,1.1640553
4.073991,1.1550323
3.0912085,1.3961993
3.8824143,1.1099159
4.1029577,1.2211533
4.079338,0.9804579
4.1189203,1.1972805
3.9213774,1.2664669
2.9630616,1.6336704
3.147592,1.4289443
3.5473573,1.3988078
3.6144836,1.3778524
3.9051352,1.230449
3.9941666,1.0737183
3.1638548,1.3868556
2.7595222,1.3836359
4.2656064,0.9294189
3.4655879,1.422918
4.2903404,1.1610683
3.6365027,1.3477203
3.7796829,1.3296013
2.8537943,1.4831592
3.540302,1.4169732
3.2707121,1.5403295
4.1296015,1.2237555
3.7769833,1.278525
3.5993962,1.3958504
3.6505275,1.3656751
4.1742997,1.2273724
3.7338607,1.4590908
3.9932184,1.1068705
3.4836981,1.4620984
3.4321382,1.4289443
4.1628165,1.2121875
3.961378,0.9863238
3.102639,1.2516382
3.7048416,-0.017728776
3.5553987,1.5342801
4.1870413,1.3115419
3.335036,1.2392995
4.229712,1.1099159
3.501752,1.3958504
3.1992013,1.4410664
4.210981,1.0107238
4.0258927,1.4530123
4.129179,1.2062861
4.2037115,1.0948204
2.8318355,1.6697816
4.261715,0.7307823
4.37106,0.79098845
4.226134,1.1942368
4.288563,0.8627275
3.1903508,1.4530123
3.113778,1.4981726
3.839414,1.2935835
3.246173,1.4861469
2.929392,1.4680518
3.3039408,1.4320067
3.8869207,1.2725377
3.9622984,1.1670218
3.795827,1.3205616
3.426374,1.426023
3.4788637,1.4197906
4.1831675,0.86332285
3.2623677,1.4350476
3.0155485,1.4861469
4.2118382,1.2362852
4.555062,0.8149132
3.838426,0.4996871
2.917427,1.5734519
3.6534858,1.1911714
2.9684324,0.89597476
3.75963,1.3416324
4.217473,1.0856473
3.6663542,1.3747483
4.047053,1.3205616
3.3080049,1.3144993
3.2833292,1.3539163
3.7497435,1.3055663
3.146214,1.4470029
4.1320653,0.845098
3.0899003,1.4922014
4.3060207,0.8267225
3.1480925,1.4173056
3.918774,1.2664669
4.083143,1.1309767
3.8763578,1.3386557
4.0552254,0.9595184
4.1202626,1.2875777
4.101524,0.9503649
2.9828336,1.4589399
2.9291306,1.4348881
3.1189675,1.6667987
3.2362943,1.6547539
3.3857415,1.3778524
4.17736,1.0257154
4.197013,1.269513
3.3298278,1.3265407
3.825854,1.3356584
3.331277,1.3839948
3.9456177,1.2121875
3.4371936,1.5493711
3.0654335,1.30298
4.1021686,1.1218879
3.104444,0.63447726
3.63834,1.2844307
4.3356223,1.1280761
4.26905,0.90794855
3.5182276,1.3296013
3.2807422,1.3062105
3.354512,1.4470029
2.964754,1.5157415
3.3857548,1.5132176
3.3932383,1.450095
3.9916778,1.2633994
3.6308296,1.269513
2.9811833,1.4019172
4.033746,0.99563515
4.2182164,1.1699681
3.990426,1.3144993
4.0313478,1.1277525
4.417413,1.0827854
3.707667,1.3356584
3.5159802,1.3626709
3.1659532,1.4530123
2.9186592,1.3747483
4.0594244,1.3326404
3.042663,1.4885507
4.090956,1.0285712
3.1453133,1.5433229
3.601686,1.3236645
3.714851,1.1099159
3.2389965,1.4978968
3.6356814,1.3416324
3.996371,1.1280761
3.0114245,1.5000992
4.111233,1.0047511
3.3077457,1.4589399
3.592996,1.4380674
4.429501,0.8481891
3.2718072,1.4740705
3.941177,1.2725377
4.080435,0.83884907
3.0841627,1.3025473
4.354855,1.3025473
4.314237,0.6972293
3.3301556,1.2329961
3.7114892,1.3958504
3.271333,1.41397
4.2304735,1.2725377
3.9489765,0.99255353
3.4089918,1.3719909
3.884547,1.3386557
2.8712018,1.269513
3.6684017,1.3596457
3.7358582,1.3144993
3.1055517,1.6607707
4.41827,1.2003032
3.208678,1.4650853
4.150028,0.923244
3.5540118,1.2633994
3.084351,1.3930484
3.0226886,1.5157415
3.04088,1.6998377
3.8331761,1.3718065
3.6312518,1.3747483
4.0313115,1.0707765
4.073131,1.1731863
4.0856795,1.2062861
3.0066712,1.3896976
4.0107384,1.3356584
3.5805504,1.3445888
3.2808743,1.3958504
3.280446,1.3356584
2.967141,1.423082
3.9151306,1.3928727
4.0379167,1.3205616
3.6292505,1.0678145
3.5649889,1.4410664
4.2513356,1.100715
2.957407,1.6817838
3.8862972,1.3205616
3.9917104,1.3506356
4.5144506,1.7601207
3.5774665,-0.4089354
4.0469656,1.1640553
3.3961542,1.4740705
3.423967,1.3236645
3.7298808,1.3144993
3.051652,1.3870337
4.078916,1.2301934
3.322701,1.3747483
3.3843372,-0.004364801
4.2146516,1.0378247
3.9974484,1.0318123
4.054217,1.2755417
3.1045644,1.2312146
3.1042404,1.3866773
3.4234025,1.4440448
4.210026,1.281488
3.810772,1.5102769
3.568826,1.5041989
4.102684,1.2422929
2.977348,0.8267225
