logProt,logRvar
3.8314033,1.1880844
3.3228712,1.6336704
3.6225128,1.5102769
4.0347185,1.2273724
3.53156,1.3718065
3.3832603,1.23325
4.43459,-0.43179828
3.222111,1.3537239
3.9688745,1.1760913
3.3209438,1.3298045
3.3221784,1.1640553
3.1683373,1.4650853
3.4755092,1.9316612
3.0177367,1.3898746
3.700661,1.5583485
3.2397547,1.4951279
3.5205214,1.3147097
3.9998007,1.4320067
3.7184653,1.5554572
3.946876,1.3596457
3.659574,1.2664669
3.2304778,1.5223138
4.1777954,1.1309767
3.7228916,1.4320067
3.6077075,1.4199557
3.330684,1.3176455
3.2362318,1.426023
3.6262577,1.2392995
4.0612817,1.2964458
3.0084329,1.4769765
3.1523387,1.3300077
3.8321397,0.22788672
4.1379447,1.4048337
3.1954641,1.6156344
3.4232242,1.4619485
3.4819815,1.6035774
4.5168576,1.0374265
3.3150816,1.6215917
4.2265987,0.9986952
3.8654938,1.1852587
4.6631336,0.9415114
3.5376742,1.5342801
3.4630594,1.4079006
3.6251943,1.657725
3.3094046,1.4109459
3.623287,1.4440448
3.7679877,1.2755417
4.6009955,1.0314084
4.1785913,1.4711449
3.8034465,1.1852587
4.1031356,1.2392995
3.5248463,1.4440448
3.4649456,1.2452658
3.931412,1.2033049
3.2320938,1.751048
4.896805,0.61066014
3.56176,1.426023
3.2673032,1.5041989
3.9547737,1.3868556
4.182104,1.1640553
4.2013764,1.3928727
3.3643339,1.5764565
4.1115255,1.3296013
4.2933083,1.1248301
4.4322186,1.3626709
3.4133482,1.6065962
4.0748568,1.1731863
3.839969,1.4650853
2.8400655,2.0776587
3.8268943,1.6366885
3.319044,1.5041989
3.451947,1.4801507
3.482224,1.5915098
3.9695785,1.2062861
3.6401155,1.5583485
3.6571007,1.3356584
3.476455,1.2518815
3.7935488,1.2392995
2.888446,1.8232785
3.0490103,1.657725
3.6980515,1.2875777
3.6267984,1.4771212
3.8250484,1.2392995
3.6996171,1.3416324
3.2407608,1.6215917
3.429569,1.5433229
3.2694926,1.5915098
4.10263,1.2543063
4.358522,1.1309767
3.7172647,1.1519824
4.4470005,1.1580608
3.6756659,1.2301934
4.3838177,0.6766936
4.4785404,1.1248301
3.3376296,1.6667987
3.5362766,1.5794406
3.07725,1.6517625
3.5328286,1.5313512
4.339818,0.08278538
3.665264,1.5854608
3.997043,-0.3098039
3.4646437,1.4891144
3.763036,0.95327634
3.9292793,1.1731863
3.4855478,1.5102769
3.1972897,1.158664
3.322665,1.4620984
3.2514558,1.4410664
3.9679663,1.2725377
3.3322246,1.5493711
3.291005,1.4891144
3.3098667,1.6607707
3.6562576,1.5494937
4.2882004,1.100715
3.4785736,1.1852587
3.3297641,1.525304
3.8678627,1.23325
3.0992572,1.3447851
3.7953293,1.5193028
3.751627,1.5282738
3.6954355,1.4922014
4.139311,1.6065962
3.3312185,1.5493711
4.079171,1.5313512
3.3519862,1.3265407
4.49058,0.2922561
3.496475,1.4709982
3.7679076,1.4079006
4.510958,0.9020029
3.2134478,1.6366885
3.2394192,1.3147097
3.361603,1.4560622
3.876373,1.1972805
3.5083175,1.5313512
4.0035243,1.3296013
3.309192,1.5794406
3.792312,1.4771212
3.3487298,1.6728364
3.5064733,1.5011963
3.1554854,1.6005373
4.604327,1.3567904
3.2368174,1.4410664
2.9665098,1.4831592
3.9609838,1.6547539
3.7343688,1.5011963
3.3217673,1.4590908
3.5701501,1.4620984
3.420341,1.4530123
3.4829688,1.4981726
3.2662995,1.3718065
3.5049436,1.6517625
3.570326,1.5313512
3.4156961,1.5915098
3.224878,1.6065962
4.062689,1.1099159
3.7201424,1.6667987
4.2153344,1.3144993
3.8243055,1.1519824
3.3668623,1.6035774
3.1307156,2.0491405
3.2787087,1.4111145
3.0600698,1.6880637
3.2580657,1.5884959
3.788708,1.3537239
4.029243,1.4410664
3.3898206,1.627673
4.1228895,1.052694
3.3398237,1.5313512
3.7570655,1.41397
4.935801,0.25285304
4.155403,1.3296013
3.4267924,1.4831592
3.7497811,1.2033049
3.5971172,1.2513949
4.6500173,0.017033324
3.8171668,1.426023
4.0903463,1.2574385
3.1890128,1.6035774
3.8237011,1.1972805
3.499066,1.4048337
3.3134935,1.3416324
3.9792361,1.5464193
3.3891122,1.6517625
3.4364204,1.618571
3.6065962,1.5644293
4.692364,0.25767857
3.849232,1.2484637
3.2580786,1.5644293
3.724571,1.5884959
3.4069986,1.4620984
3.0903037,1.5373152
3.9177182,1.2180101
3.313203,1.2370408
3.2473586,1.6697816
4.0566697,0.75739604
3.2391832,1.4891144
4.7443166,0.7126497
3.480234,1.5553364
3.841599,1.0406023
4.021897,1.2211533
3.724758,1.4922014
3.9357216,1.3326404
4.2623954,1.2904798
3.9941697,1.4109459
3.7866707,1.5915098
3.4359813,1.525304
3.8604975,1.2574385
3.342784,1.3989811
3.2972078,1.4771212
3.6213434,1.5162709
3.3811274,1.5193028
3.951508,1.5193028
4.5978017,-0.20065945
3.1667798,1.4920616
3.7154078,1.4981726
3.9237654,1.3506356
3.7491257,1.3747483
3.3926125,1.4410664
3.5881684,1.5764565
3.629063,1.4440448
3.8850172,1.1911714
3.4707448,1.4199557
3.581154,1.6215917
3.1119332,1.4981726
3.330042,1.618571
3.414177,1.4620984
4.5452065,0.6972293
3.241088,1.6005373
4.0000906,1.5011963
4.2920175,1.1370374
3.0120146,1.3626709
3.2821717,1.5794406
2.9613106,1.6426623
3.3405297,1.7089305
3.864356,1.3085644
3.3738008,1.5884959
3.079043,1.7149162
3.6248243,1.2603099
3.6802142,1.2725377
3.832103,1.5825179
3.3615148,1.525304
3.5627005,1.0707765
3.5263295,1.5193028
3.7003334,1.4891144
3.3032856,1.5704261
3.7163322,1.6547539
3.9761655,1.4922014
4.304782,-0.38721615
3.9019608,1.3176455
3.356189,1.450095
3.5333836,1.2935835
3.597319,1.4891144
3.476048,1.4530123
3.2295136,1.5764565
4.376548,0.11394334
4.205738,-0.38721615
3.040316,2.0788193
3.8243446,1.1852587
3.8343174,1.5825179
4.140481,1.4891144
3.8418412,1.2633994
4.1236267,1.1550323
3.9328675,0.9863238
4.1910906,1.0888445
3.829004,1.6005373
3.2816284,1.3115419
4.4148746,1.4771212
4.0362587,1.1731863
4.420868,1.3868556
3.2756503,1.4109459
3.1064744,1.7089305
3.3615625,1.5493711
3.6736007,1.422918
4.141497,1.450095
3.649127,1.2065561
3.622747,1.5282738
3.2233717,1.5884959
3.264771,1.6787914
3.7348692,1.4440448
3.3849635,1.3718065
3.828008,1.627673
4.412386,0.7331973
3.937061,1.41397
4.225401,1.2301934
4.3484554,1.3386557
3.3147357,1.612572
3.6376455,1.4079006
3.3945117,1.525304
2.935118,1.34262
4.081616,1.2452658
3.3983862,1.3085644
4.060972,1.3386557
3.9021316,1.1942368
3.4508913,1.2875777
3.5932794,1.1580608
4.131245,1.2182729
2.384225,1.8594385
3.2999,1.6005373
3.535138,1.2397999
3.2127862,1.6517625
3.3014007,1.6245915
3.9904099,1.4440448
3.6204572,1.525304
3.3427005,1.5408298
3.823805,1.3296013
3.0899618,1.6516656
3.3307443,1.612572
3.6127996,1.4831592
4.503225,0.5378191
