logProt,logRvar
3.8014717,1.3296013
4.9604063,-0.38721615
3.7971418,1.4801507
3.050169,1.4740705
3.618758,1.3386557
4.1652775,1.2664669
2.8663018,0.19312458
3.4602294,1.3326404
3.1364915,1.4440448
3.194404,1.4377506
3.7638617,1.281488
3.1941805,1.3386557
4.0962157,1.1218879
3.8338683,1.5282738
3.3048592,1.5162709
3.9835553,1.3778524
3.862056,1.2513949
3.035582,1.657725
3.1238008,1.6637951
3.7556226,1.1401937
3.288955,1.6336704
4.388507,0.89597476
3.3716564,1.6156344
3.700534,1.1792644
4.7194037,-0.38721615
4.1088376,1.0648322
4.0057282,1.4048337
3.29264,1.5644293
3.9753392,1.3778524
4.6645083,1.2904798
4.7548385,0.76641285
3.8542867,1.148911
3.5153913,1.4711449
3.69004,1.224274
2.9767137,1.5255631
3.873941,1.3144993
3.3404114,1.6396856
3.500427,1.5193028
4.1240897,1.097951
3.8934345,1.1550323
3.9372995,1.3055663
4.1056614,1.3988078
3.4416094,1.5825179
3.7174883,1.2003032
4.0908766,1.0257154
3.2669358,1.3115419
4.8633003,0.622214
3.1964285,1.4763968
4.0504193,1.4199557
3.9100852,1.0856473
3.2353318,1.5794406
3.340098,1.4831592
3.205183,1.5041989
3.0747201,1.3662361
3.2037537,1.4622482
3.75482,1.4951279
3.114854,1.4380674
4.7401953,0.8750613
4.143349,1.1760913
3.4763281,1.278525
3.7478855,1.2574385
4.1933465,1.0678145
3.9432304,1.1218879
3.8925426,1.1038038
3.9242096,1.1792644
3.3699074,1.5493711
3.0272954,1.1357685
3.163165,1.5223138
4.022898,1.2964458
3.4617867,1.4650853
3.971827,1.2935835
3.558631,1.3477203
3.00458,1.5041989
3.6164389,1.3025473
3.4935064,1.4289443
3.2962766,1.2909245
2.8834672,1.4199557
3.18607,1.6607707
3.45385,1.5493711
3.1632407,1.6157397
3.3410432,1.5704261
3.2550414,1.4831592
3.825887,1.146128
3.8357692,1.230449
3.6381238,1.146128
3.6353705,1.2995073
3.8853364,1.2964458
3.392374,1.4801507
3.866665,1.3567904
3.7418141,1.1122698
3.2589827,1.6336704
3.9498951,1.3326404
3.1274786,1.5854608
3.7766957,1.2273724
3.270732,1.1640553
4.0838304,1.1972805
4.041582,1.3025473
3.5531955,1.5673794
4.1341577,1.3928727
3.7143023,1.3778524
2.9489276,1.3180634
3.3992767,1.4620984
3.6423771,1.4199557
4.330633,1.0916669
3.754969,1.1699681
3.3568583,1.0553783
3.5061224,1.3055663
3.4870212,1.4320067
3.7994847,1.4560622
3.1177342,1.627673
4.2316246,1.0496056
3.04964,1.6637009
3.2667983,1.4801507
3.6856923,1.4079006
3.0731008,1.5162709
3.8050673,1.4801507
3.8442028,1.3506356
3.6190734,1.4680518
3.3239877,0.82151353
3.0057206,1.3539163
3.6054025,1.2633994
3.1733706,1.6215917
3.3404222,1.6396856
3.2229006,1.4080703
3.9047382,1.2574385
3.941944,1.3356584
4.065084,1.2995073
3.5793223,1.2452658
2.8068705,1.7118915
3.499049,1.3176455
3.6987362,1.0860037
3.470288,1.4410664
3.9162574,1.1610683
3.1906083,1.5342801
2.853885,1.6697816
3.3072708,1.612572
4.286481,0.9894498
4.235494,1.3778524
3.1890519,1.6607707
4.0203767,1.0346285
3.5421073,1.3205616
4.1949215,1.0648322
4.234234,-0.3098039
3.5581903,1.4560622
4.3244076,1.3265407
3.1473048,1.6065962
3.787006,1.450095
3.044614,1.5132176
4.1037965,1.0588055
3.5810294,1.2484637
4.1833186,1.0557605
2.980701,1.5915098
4.614108,0.7032914
3.518816,1.1760913
3.728923,1.1643529
4.8626633,0.056904845
4.513755,0.61595005
3.193352,1.5794406
3.292279,1.3176455
3.8095503,1.1702617
3.8932292,1.1519824
3.8724036,1.3386557
3.9577951,1.0464952
3.7586105,1.100715
4.0942783,1.3176455
4.010043,1.224274
3.2905998,1.3147097
3.666448,1.2301934
4.2261934,1.2995073
4.247035,1.0948204
3.696365,1.4470029
3.753982,1.4079006
3.330826,1.5825179
3.6518698,1.3265407
3.779169,1.3055663
4.1881547,1.450095
4.12813,1.1398791
3.9441245,1.4289443
3.52403,1.2574385
4.139597,0.9986952
3.9513686,0.0128372125
4.0905952,1.0224284
2.960664,1.6245915
3.5574331,1.5282738
3.6990075,1.5312234
3.1335878,1.612572
3.1576169,1.5011963
3.597324,1.2935835
3.8990178,1.1972805
4.0069175,1.0737183
4.5115185,0.9836263
2.9547625,1.4350476
3.9784148,1.1068705
3.9736595,1.2935835
4.2846236,1.4350476
3.8564267,1.2153732
2.7300532,1.623456
3.14457,1.2177471
3.9319215,1.0557605
4.700612,0.820858
4.070712,1.3868556
4.2461524,1.3085644
3.7104063,1.2603099
4.044591,1.3326404
4.1624722,1.0195317
3.6714911,1.3537239
3.6756933,1.4891144
4.0745344,1.1280761
3.1799343,0.8027737
3.5691886,1.3115419
3.5092254,1.4711449
3.9945996,1.4861469
3.8863409,1.1550323
2.8178523,1.483302
3.929552,1.1099159
3.9885483,1.4711449
3.594216,1.0888445
4.887398,1.0678145
3.889982,1.2151086
3.8374856,1.1792644
3.1198344,1.5553364
4.5208473,1.0107238
3.4227722,1.2487087
3.8239853,1.2755417
3.8936718,1.100715
4.0153522,1.1670218
3.8790078,1.0920185
3.3858657,1.5764565
4.1374745,1.2603099
3.188419,1.4504031
3.3597424,1.618571
3.5903087,1.5313512
3.919463,1.1309767
4.054693,1.1248301
4.047548,1.0406023
3.8436723,1.4771212
3.7566488,1.1251558
4.0115037,1.4470029
3.4004014,1.525304
2.9907238,1.4199557
3.9186363,1.3807538
4.0922446,1.1189257
3.1837618,1.6487502
3.8133795,1.1640553
3.5605683,1.2273724
3.6625588,1.422918
3.9003818,1.4922014
3.2130914,1.5734519
4.6553984,0.44715804
3.9149165,1.1038038
4.077998,1.1550323
3.1906486,1.6607707
4.6811576,0.25285304
3.1369717,1.5132176
2.8959198,1.285107
3.663572,1.422918
3.1129007,1.4197906
3.2151086,1.56134
3.205683,1.4079006
3.9608078,1.0406023
3.8739285,1.281488
4.0870347,1.3477203
3.706854,1.690816
3.4765947,1.3356584
3.5576744,1.4892552
3.2632759,1.3988078
3.4039576,1.5282738
3.559096,1.1760913
3.6464982,1.2633994
3.4742928,1.3688445
2.6492012,1.6156344
4.0247965,1.4107772
3.4456944,1.4861469
3.1837165,1.5373152
3.6336348,1.2484637
3.4761958,1.5974758
3.9011462,1.1338581
4.211471,1.3868556
3.5561948,1.230449
3.7628975,1.0648322
4.0119057,1.3537239
3.3278003,1.4470029
4.1735983,1.3445888
3.6265528,1.281488
3.9165356,1.0648322
3.4182513,1.3718065
4.0037613,1.1068705
3.8427165,1.3025473
4.7894535,0.8299467
3.8157394,1.4891144
4.1159916,1.0737183
4.6435704,0.19589967
4.063808,1.4289443
3.66598,1.2484637
3.987962,1.1430148
3.0068538,1.2076343
3.574808,1.3988078
4.0049148,1.1280761
3.7800143,1.097951
3.119307,1.5854608
3.639395,1.2273724
3.893783,1.4740705
3.6319633,1.4922014
3.3838766,1.507316
3.2911959,1.5464193
4.189263,1.0557605
4.469495,1.3718065
3.1024277,1.3658623
4.0885754,1.3656751
3.7367108,1.3807538
3.6964948,1.3658623
3.8428762,1.525304
3.4469318,1.6035774
4.115171,1.0707765
3.8350844,1.1280761
3.9520602,1.11294
3.0319998,1.4563661
3.6885679,1.5282738
3.4498794,1.525304
3.6315048,1.1760913
4.0373583,1.1699681
3.1657574,1.3475251
3.7887638,1.3356584
3.4170556,1.5734519
3.966546,1.3115419
3.496513,1.3205616
3.2404075,1.7390182
3.5225463,1.5674969
3.878327,1.3296013
4.147811,1.4470029
3.003798,1.5284024
3.5507643,1.2156376
3.1617374,1.4289443
3.4557946,1.3085644
3.4582572,1.3176455
3.4810398,1.5313512
3.4020088,1.2725377
3.2592404,1.2968844
3.9124055,1.1760913
3.8894954,1.3596457
3.907775,1.0766405
3.7695348,1.11294
3.8786643,1.1309767
3.0458832,1.5577477
3.5677197,1.0557605
3.4763498,1.4830164
3.5999732,1.4410664
3.1201127,1.6156344
3.4479852,1.4740705
3.942411,1.3567904
3.866778,1.4680518
2.9740083,1.4590908
4.0858965,1.0468853
3.8049607,1.0648322
3.9873362,1.097951
2.66099,1.67587
3.129286,1.5673794
3.979856,1.1309767
3.1514478,1.4891144
4.1459165,1.0888445
3.3954377,1.2725377
3.4239085,1.5313512
4.474582,0.99563515
4.0361643,1.2273724
3.1832557,1.6396856
3.985873,1.1942368
4.253001,1.3778524
3.239669,1.5493711
3.4760768,1.3626709
3.939041,1.5102769
3.335712,1.5403295
3.5457351,1.0856473
3.851717,1.3988078
4.061036,1.4199557
3.8318083,1.2875777
3.9580648,1.178977
3.543119,1.5915098
3.8314133,1.3567904
3.4112027,1.230449
3.1521459,1.6547539
4.0602684,1.0678145
2.8907409,1.6245915
4.130538,1.1280761
3.8685117,1.3747483
2.9309602,1.6607707
3.6452625,1.4650853
3.9576485,1.3416324
3.1393135,1.3027637
3.5243442,1.0856473
4.9383864,1.7179201
3.259924,1.6095945
4.081334,1.0346285
3.4763644,1.2664669
2.958977,1.6848453
3.2487805,1.5225747
3.2474842,1.423082
4.0907626,0.8149132
3.2951288,1.5915098
3.3835003,1.3747483
3.4206736,1.1826999
3.4240758,1.1702617
3.0198975,1.6095945
3.5600066,1.3085644
3.8083224,1.1218879
4.0982327,1.3868556
3.3575907,1.4440448
3.4494169,1.5524249
4.1887455,1.4771212
3.3332832,1.4740705
3.3781807,1.5313512
3.6382477,1.3565995
3.3676355,1.4590908
3.458454,1.5915098
4.652023,0.9894498
3.3762946,1.6215917
4.080601,1.0588055
3.292213,1.5764565
4.579525,0.9652017
3.5884683,1.5975856
2.7958589,1.6757784
3.9438207,1.4470029
3.043052,1.4891144
3.6811833,1.3144993
3.8973987,1.224274
3.550468,1.1610683
3.4724855,1.4861469
3.619647,1.3778524
3.8857446,1.0888445
4.0725045,1.052694
3.8998303,1.3085644
4.4242215,0.8750613
3.8045506,1.1189257
3.869454,1.1218879
4.1256394,1.3778524
3.753434,1.3356584
3.242644,1.3900515
3.9282122,1.4590908
4.0528803,1.3416324
3.7863643,1.3326404
3.7605238,1.3718065
4.1691484,1.4680518
4.0592675,1.1068705
3.6445637,1.2995073
3.3732932,1.4711449
3.783223,1.1731863
3.1611052,1.6006463
3.8253117,1.2092469
3.346517,1.5854608
3.2339532,1.5313512
2.9974415,1.4650853
3.4308436,1.4861469
3.6355681,1.41397
3.6897247,1.5193028
3.6929524,1.5673794
3.3579352,1.5644293
4.327859,0.14612803
3.9801962,1.2003032
3.3360434,1.612572
3.2304082,1.612572
3.3759162,1.4470029
3.686175,1.4199557
4.1562634,1.4530123
3.3796294,1.4831592
4.164347,1.3445888
3.887344,1.3506356
3.5679975,1.2664669
3.1101158,1.6697816
3.518927,1.5584686
3.6207979,1.3085644
3.463236,1.3718065
4.2373977,1.1038038
3.4846413,1.3626709
3.5443754,1.2697464
3.242223,1.4711449
3.525687,0.9790929
3.5992584,1.4922014
3.8027587,1.3807538
4.0811305,1.3296013
3.2316346,1.5102769
3.9575434,1.0948204
3.9573498,1.0920185
4.1213875,1.0766405
3.3389935,1.3147097
3.635647,1.0799044
3.7862835,1.3928727
3.8268626,1.1821293
3.8453999,1.2664669
4.1297317,1.1159432
3.6478827,1.4801507
3.9189367,1.2633994
4.5200477,1.0195317
3.0608842,1.5223138
4.187834,0.46239802
4.4942617,0.70926994
3.2140281,1.4922014
4.138578,1.4019172
2.8125272,1.6456188
3.4772005,1.5464193
3.888734,1.1280761
3.6630192,1.3956758
3.159161,1.4320067
3.1610188,1.6366885
3.5138242,1.2964458
3.348469,1.5674969
3.362452,1.4530123
3.7135262,1.1670218
3.2840579,1.5102769
4.0286894,1.3988078
4.2356615,1.0374265
3.2988076,1.5583485
3.3864863,1.2422929
3.2517035,1.6396856
4.2493362,1.0856473
3.8379064,1.4079006
4.038613,1.3055663
3.7352011,1.507181
3.183742,1.5041989
3.5607848,1.3115419
4.068971,1.1911714
4.42304,0.5622929
3.2699947,1.5342801
3.6630342,1.5223138
2.898974,1.5282738
3.2416694,1.6607707
3.1284957,1.5464193
3.471117,1.5162709
3.2425737,1.5673794
4.6081076,0.6857417
3.7969708,1.0285712
3.8050036,1.751048
3.266594,1.657725
3.3732,1.426023
3.4395907,1.525304
2.988769,1.3392526
