logProt,logRvar
4.168284,0.7363965
3.389173,1.326131
4.306469,0.98587537
2.6507802,1.2135178
2.7764223,1.2732328
4.125097,0.8175654
4.202168,0.72997427
4.1167417,0.95856386
2.8236797,1.4583356
4.202678,1.1640553
3.516454,1.4163076
3.1753085,1.3230457
4.1842084,1.0128373
3.7238886,1.2603099
4.132319,0.9324738
3.452662,1.051924
3.069603,1.4590908
3.3494697,1.1997552
3.1420221,1.2732328
3.2494392,1.230449
4.2184095,0.46538287
3.7800746,0.9708116
3.7255633,1.146128
2.9467604,1.2255677
4.0036774,0.79379034
3.0774848,1.3445888
4.246974,0.968483
4.175396,0.9324738
4.0802283,1.0157788
3.342632,0.9314579
4.16134,1.1309767
3.95269,1.0648322
3.6199145,0.9804579
3.6592958,1.1105897
3.4087594,1.3386557
3.3922524,1.278525
3.0381503,1.4707044
3.0220945,0.61384183
3.9729962,1.3236645
3.687938,1.2844307
3.08131,0.88479537
3.0242012,0.63346845
2.7460258,0.8943161
4.363899,1.1844075
3.149376,1.4286207
4.069363,0.8241258
3.194605,1.3115419
3.2260103,1.3590763
4.259088,0.9474337
3.17343,0.9772662
3.4889877,1.0860037
3.0336618,1.3354579
3.7295687,1.3205616
3.666109,1.2778383
3.1059136,1.3506356
3.6101117,1.2603099
4.202707,1.0098757
3.0400882,1.4320067
3.0796719,1.437909
3.2628756,1.2240148
3.8083532,1.2447717
3.2839904,1.2699797
4.4200435,1.0678145
4.016343,1.2755417
2.6647966,1.1538149
3.666858,1.3410386
3.5957694,1.2748504
4.1296015,1.2237555
2.868509,0.7671559
3.0174093,1.6759615
3.3618374,1.3898746
2.7650006,1.1637576
2.9364135,1.3710679
3.6656983,1.3265407
3.4330847,1.3928727
2.8757253,1.3984609
3.4922047,1.2153732
3.0191321,1.2931415
3.21838,1.3018978
4.1155443,1.0318123
3.618052,1.0913152
3.356786,1.3445888
3.7856221,1.1755118
3.8393054,1.278525
2.9692576,1.4650853
3.48442,1.3416324
3.0302792,0.98272336
2.9610465,1.4620984
3.1616557,1.4434195
2.5833728,1.6878855
3.8867245,1.2447717
4.14171,0.92582756
3.6829696,1.0553783
3.4325273,1.4892552
3.7371554,0.82020146
3.4676306,1.2477279
3.59013,1.2182729
3.3743157,0.17026173
4.128799,0.8870544
4.266409,0.9708116
2.9710622,1.0334238
3.9959366,0.9772662
3.5402205,1.2385479
3.2600045,1.3209767
3.143739,1.1726029
3.4473155,1.3441957
3.9130394,1.350054
3.667611,1.0791812
3.0822554,1.4192947
4.1642556,1.1815578
3.872357,1.2755417
3.4998837,0.9503649
3.0722833,1.3594561
3.4045546,1.3621054
3.16248,1.335859
3.2730813,1.3147097
3.5627897,0.48713836
3.4921408,1.2598327
3.1682832,1.3628592
3.7782946,1.3144993
3.0473654,1.3836359
3.5840344,1.1251558
3.2188847,0.4756712
3.8612013,1.1911714
4.284564,0.6242821
3.9752505,1.3025473
3.1101778,1.3324385
2.8445566,1.2240148
3.663684,1.1610683
3.3981595,0.99563515
3.42015,1.0128373
2.8942032,1.3558345
3.2576284,1.4344093
3.88739,0.89927316
3.518418,1.1911714
3.6169674,1.343999
3.1769032,1.4313638
3.3007083,1.2760019
3.436302,1.3621054
4.5111985,0.7363965
3.0363545,0.7339993
3.5246382,1.0972574
3.3417253,1.3328422
3.2220037,1.3723596
3.104566,1.3443923
3.7542918,1.0610753
3.3410995,1.2938044
3.5965278,1.3718065
4.5626025,0.57054293
2.975065,1.320354
4.239485,1.0370278
4.2538314,1.1182647
3.2062993,1.4644896
4.0713096,0.9405165
3.362439,1.4048337
2.7527752,1.1562462
3.1063275,1.1360861
2.949049,0.9951963
3.2488632,1.2842051
3.9690542,1.1755118
3.5988402,1.1664301
4.324159,0.5132176
3.0660934,1.3298045
3.067357,1.3149201
3.469793,0.13672057
3.852228,1.2477279
3.431216,1.3416324
3.181231,1.350248
3.095577,1.11294
3.515033,1.3350565
3.6854923,1.2417954
4.0828867,0.79934055
2.7746754,1.2933625
3.2541075,0.8413595
3.4070528,1.209515
3.4617548,1.2268575
4.225196,1.0191163
2.8910792,1.1068705
3.5943193,1.3807538
3.465747,1.2598327
3.2910237,1.281488
2.8572152,1.3410386
3.3648593,1.2933625
3.1379023,1.3956758
3.2191856,1.4169732
3.5072885,1.269513
2.5523987,0.45331833
2.9053028,1.6632296
3.3328104,1.278525
3.2509768,1.2564772
3.5807934,1.1942368
3.4857366,1.2513949
3.9771707,1.2633994
3.1450942,1.2161659
3.9506028,1.2875777
3.8388877,0.9294189
2.827037,1.3771241
2.5798454,1.2973228
2.817189,0.9708116
3.1727333,1.3147097
3.0956342,1.5734519
2.9163141,1.2776092
3.4535587,1.1280761
4.008776,1.2725377
2.835937,1.2278867
3.931623,1.2417954
3.7086155,1.0285712
4.1066613,1.1906118
2.8565195,1.2372923
4.1625257,1.1821293
2.9481578,1.4038066
3.4323528,1.3747483
4.164938,0.83569056
4.75757,0.65513843
2.65879,1.2966652
2.9616807,1.3656751
3.5535905,1.3477203
3.3800972,1.5669086
2.8510885,1.3296013
3.3049479,1.2966652
4.16374,1.0737183
2.9553294,1.3488888
2.9572737,1.4795753
3.2385533,1.2911468
3.2659173,1.3626709
3.4858158,1.41397
3.9537861,0.9652017
4.220045,1.0136797
3.07217,1.3658623
4.107855,1.2422929
2.8006442,1.270446
3.7225344,1.1258065
3.964379,0.68214506
3.2831888,1.4466925
3.952831,0.92272544
3.2190123,1.2641091
3.8759062,0.92582756
2.9825172,1.3328422
3.9538534,0.923244
2.8378716,1.2766916
3.5592213,1.2327421
3.6456406,1.23325
3.233027,1.193681
2.9813974,-0.0132282525
2.9167848,-0.045757502
2.8342342,1.3592662
4.536233,0.65801144
2.6977375,1.4758164
3.3672078,0.10037054
3.3526437,1.3386557
3.172503,1.3207692
3.4603543,1.278525
3.446554,1.2697464
3.4708273,1.2087101
3.7002013,1.0220158
2.6739595,1.0182843
3.6633794,1.1731863
3.6585562,1.1492192
4.325244,1.0557605
4.026184,1.0314084
3.4114738,1.2755417
2.6800182,1.2902572
3.9829805,0.6454223
2.7965658,1.2633994
4.0536184,1.1550323
2.8041224,0.47712126
3.5437105,1.4380674
2.9525712,1.1806992
4.0063047,0.47712126
4.083072,1.133539
3.0010393,1.4106085
3.1299486,1.4132998
2.872971,1.3176455
3.4302375,0.6919651
3.1374247,1.2904798
3.461438,1.3982873
3.1966248,1.3087778
3.972671,1.3838154
2.8645816,1.3144993
3.5024438,0.553883
3.1214423,1.3921691
2.941772,1.2736956
2.6999815,1.0737183
2.7589328,1.3240765
2.8159583,1.2193224
4.155486,1.278525
4.204202,0.71516734
4.056894,1.1821293
3.0627086,1.4644896
3.4026759,1.4169732
2.7488313,1.3895205
2.5746493,1.4574277
3.4152527,1.3085644
4.0098577,1.0648322
3.0831504,1.3562171
2.7189476,1.3328422
4.1166563,1.281488
4.258192,1.1726029
4.371617,0.69372696
3.1687047,1.392697
3.8246245,1.2027607
3.3038402,1.3218055
3.4914637,1.3447851
3.5006342,1.2995073
3.4570203,0.51587385
4.0737476,0.9772662
3.7478502,1.2455127
2.8111165,1.3658623
2.7086914,1.3451777
3.2924452,1.3988078
2.6113615,1.2789822
3.432614,1.3928727
3.2221072,1.3416324
2.752409,1.4138025
3.4193993,1.4560622
3.6576025,1.3025473
3.7637393,0.9712758
3.2735505,1.2931415
3.0201218,1.3719909
2.9021175,1.438384
4.439384,1.051924
3.0676432,1.3893433
3.5276237,1.2900347
3.0499613,1.3621054
4.2852297,0.89597476
3.6502597,1.4348881
4.3119016,1.0588055
3.1003988,1.3451777
2.7644033,1.2819419
3.084051,1.4197906
2.960579,1.546666
4.100298,0.6766936
4.0695124,0.79657435
2.9273517,1.2035768
3.2941132,1.0561422
3.068309,1.3776704
3.9465277,0.8686444
2.8290274,1.2219356
3.7431202,1.3445888
2.8051574,1.0216027
3.7636075,1.4560622
3.4986463,1.3386557
3.2343733,1.3714373
3.9216614,1.2301934
3.3159037,1.3988078
3.9798994,1.1003705
3.4966888,1.2340108
3.0482678,0.991669
3.441557,1.3811151
2.947321,1.4107772
4.060197,0.9561684
4.3744936,1.0285712
3.7746713,1.3031961
3.2481232,1.278525
3.2611032,1.281488
2.8616252,1.3988078
2.892601,1.333044
2.600506,1.4942938
4.7275696,0.46538287
4.131081,1.1760913
3.1350255,1.2182729
3.2346387,1.2550311
3.1779828,1.2060158
2.9650838,0.813581
3.1001556,0.91750556
3.2255743,1.2633994
4.094429,1.2633994
2.9220953,1.3085644
2.9344938,1.4800069
3.873278,1.2929202
3.8594167,1.3176455
3.7843742,1.2964458
4.077819,1.0670708
3.1878707,1.4592416
4.3769126,1.0827854
3.4675093,1.3049212
2.6933367,0.93701607
3.865496,0.8444772
2.700502,1.3923452
3.9135594,0.9561684
4.1717606,1.0406023
3.3010297,1.4043205
3.3825698,1.3265407
3.9100046,1.1303338
4.2816176,1.193681
3.8047106,1.1122698
3.8133788,1.0737183
3.9637983,0.7363965
4.093078,1.0648322
3.465813,1.2964458
4.067157,1.1068705
3.58705,1.6366885
3.188528,1.3477203
4.368716,0.88986176
3.832379,1.0013009
3.272454,1.2636361
3.0968924,1.6306312
3.0753682,1.2848817
3.7603624,1.0670708
3.8071115,1.0972574
2.8191988,1.4102709
3.359403,1.2357808
3.1139307,1.3230457
3.134144,1.4320067
2.6733925,1.4051756
3.1064813,1.2491983
2.8542714,1.3592662
3.679133,1.1031193
